date,treatment,sample,weight_g,size_cm
22/10/2016,TTA,TTA15,9.5413,3.3375
22/10/2016,TTA,TTA16,12.6547,3.5485
22/10/2016,TTA,TTA17,11.8224,3.4385
22/10/2016,TTA,TTA18,8.465,3.0955
22/10/2016,TTA,TTA19,8.9013,3.1875
22/10/2016,TTA,TTA20,8.1812,3.1185
22/10/2016,TTTC,TTTC1,8.3701,3.14
22/10/2016,TTTC,TTTC2,4.4479,2.4905
22/10/2016,TTTC,TTTC3,5.0654,2.6065
22/10/2016,TTTC,TTTC4,5.3044,2.647
22/10/2016,TTTC,TTTC5,13.0277,3.804
22/10/2016,TTTC,TTTC6,10.8213,3.279
22/10/2016,TTTC,TTTC7,6.5517,2.796
22/10/2016,TTTC,TTTC8,8.4094,3.1405
22/10/2016,TTTC,TTTC9,8.186,3.1365
22/10/2016,TTTC,TTTC10,11.711,3.735
22/10/2016,TTTC,TTTC11,7.9606,3.039
22/10/2016,TTTC,TTTC12,10.7341,3.3285
22/10/2016,TTTC,TTTC13,4.9393,2.5735
22/10/2016,TTTC,TTTC14,9.1718,3.3125
22/10/2016,TTTC,TTTC15,6.4732,2.922
22/10/2016,TTTC,TTTC16,9.5828,3.008
22/10/2016,TTTC,TTTC17,7.8184,2.8495
22/10/2016,TTTC,TTTC18,8.1083,2.926
22/10/2016,TTTC,TTTC19,8.6998,2.9645
22/10/2016,TTTC,TTTC20,4.4971,2.399
22/10/2016,TTTM,TTTM1,9.5953,3.075
22/10/2016,TTTM,TTTM2,7.8331,2.9055
22/10/2016,TTTM,TTTM3,6.176,2.649
22/10/2016,TTTM,TTTM4,6.8259,2.715
22/10/2016,TTTM,TTTM5,5.0414,2.517
22/10/2016,TTTM,TTTM6,11.4371,3.454
22/10/2016,TTTM,TTTM7,13.772,3.721
22/10/2016,TTTM,TTTM8,7.191,3.0035
22/10/2016,TTTM,TTTM9,7.7353,3.178
22/10/2016,TTTM,TTTM10,5.2383,2.7475
22/10/2016,TTTM,TTTM11,9.0562,3.003
22/10/2016,TTTM,TTTM12,5.6833,2.5045
22/10/2016,TTTM,TTTM13,7.8588,2.7815
22/10/2016,TTTM,TTTM14,16.7809,3.8
22/10/2016,TTTM,TTTM15,9.5695,3.0635
22/10/2016,TTTM,TTTM16,10.8098,3.283
22/10/2016,TTTM,TTTM17,10.4893,3.4215
22/10/2016,TTTM,TTTM18,19.205,4.1445
